real_world_color,Violet,Blue,Green,Red,Yellow,Orange,Purple,Pink,White,Black,Grey,Brown
Amethyst,100,55,5,10,5,5,70,5,20,5,5,5
Tyrian Violet,95,5,5,50,10,10,70,5,20,5,5,5
Byzantium,95,5,5,50,10,10,70,5,20,10,5,5
Aubergine Noir,100,10,5,5,5,5,45,5,20,90,20,5
Imperial Iris,95,5,5,5,5,5,70,5,20,5,10,5
Heliotrope,95,5,5,10,10,10,5,70,20,5,5,5
Mulberry Silk,95,5,5,75,10,10,45,5,20,5,5,5
Damson Plum,95,5,5,45,5,5,70,5,20,10,10,5
Wisteria Bloom,100,10,5,5,5,5,5,70,60,5,10,5
Royal Grape,100,20,5,15,5,5,75,5,20,5,5,5
Night Orchid,100,75,5,5,5,5,5,5,20,50,5,5
Lavender Ash,100,10,5,5,5,5,5,5,45,5,75,5
Violet Quartz,100,15,5,10,5,5,70,5,45,5,5,5
Blackcurrant Velvet,100,10,5,5,5,5,45,5,20,80,20,5
Celestial Mauve,100,10,5,5,5,5,45,70,20,5,5,5
Lapis Lazuli,80,100,5,10,5,5,45,5,20,5,5,5
Prussian Blue,10,100,5,5,5,5,5,5,20,75,20,5
Cobalt Royale,75,100,5,10,5,5,10,5,20,5,15,5
Ultramarine,75,100,5,10,5,5,10,5,20,5,5,5
Oxford Blue,10,100,5,5,5,5,5,5,20,80,20,5
Sapphire Deep,80,100,5,10,5,5,5,5,20,5,5,5
Midnight Azure,10,100,5,5,5,5,5,5,20,75,20,5
Aegean Blue,5,95,70,10,10,10,5,5,20,5,5,5
Peacock Blue,10,100,70,10,5,5,10,5,20,5,5,5
Storm Navy,10,100,5,5,5,5,5,5,20,50,75,5
Cerulean Crest,10,100,70,5,5,5,5,5,20,5,5,5
Inkstone Blue,10,100,5,5,5,5,5,5,20,90,20,5
Glacier Blue,15,100,5,10,5,5,5,5,85,5,10,5
Blue Opal,15,100,45,10,5,5,5,5,70,5,10,5
Cosmic Navy,10,100,5,5,5,5,5,5,20,80,20,5
Emerald,15,85,95,15,5,5,10,5,5,5,15,20
Jade Imperial,10,10,95,5,5,5,5,5,70,5,15,20
Malachite,15,80,95,10,5,5,5,5,5,5,15,20
British Racing Green,10,10,95,5,5,5,5,5,5,75,20,20
Verdigris,10,75,95,5,5,5,5,5,5,5,15,20
Viridian,10,75,95,5,5,5,5,5,5,5,15,20
Forest Canopy,10,10,95,5,5,5,5,5,5,85,20,20
Olive Drab Luxe,5,5,95,10,75,10,5,5,5,5,15,45
Moss Agate,10,10,95,10,5,5,5,5,15,5,80,20
Basil Velvet,5,5,95,10,75,10,5,5,5,5,15,20
Hunter Green,10,10,95,5,5,5,5,5,5,75,20,20
Eucalyptus Smoke,10,10,95,5,5,5,5,5,15,5,75,20
Peridot Glow,10,10,95,15,75,10,5,5,10,5,15,20
Cypress Shadow,10,10,95,5,5,5,5,5,5,85,20,20
Celadon Porcelain,10,10,95,5,5,5,5,5,85,5,15,20
Crimson Royale,5,10,5,100,10,10,75,5,20,5,5,5
Burgundy Reserve,5,5,5,100,10,10,70,5,20,50,5,5
Carmine,5,5,5,100,10,10,5,70,20,5,5,5
Garnet,15,15,5,100,5,5,70,5,20,50,5,5
Oxblood,5,5,5,100,10,10,5,5,20,80,20,55
Vermilion,5,10,5,100,10,75,10,5,20,5,5,5
Tyrian Red,5,5,5,100,10,10,70,5,20,5,5,5
Scarlet Empress,5,10,5,100,10,75,10,5,20,5,5,5
Sangria Velvet,5,5,5,100,10,10,70,5,20,10,5,5
Ruby Noir,15,15,5,100,5,5,5,5,20,85,20,5
Burnt Sienna,5,5,5,100,10,75,5,5,20,5,5,55
Pomegranate,5,5,5,100,10,10,5,70,20,5,5,5
Cinnabar,5,10,5,100,10,75,10,5,20,5,15,5
Merlot Silk,5,5,5,100,10,10,70,5,20,10,5,5
Cardinal Flame,5,10,5,100,10,80,10,5,20,5,5,5
Imperial Gold,5,5,5,10,100,75,5,5,5,5,15,5
Saffron,5,10,5,10,100,75,5,5,15,5,5,5
Amber,5,5,5,10,100,75,5,5,5,5,5,5
Marigold,5,10,5,15,100,75,10,5,10,5,5,5
Topaz,10,10,5,15,100,10,5,5,75,5,5,5
Honeyed Ochre,5,5,5,10,100,10,5,5,5,5,10,80
Goldenrod,5,5,5,10,100,75,5,5,5,5,5,5
Butterscotch,5,5,5,10,100,10,5,5,5,5,5,70
Chartreuse Doré,5,5,70,10,100,10,5,5,10,5,5,5
Solar Flare,5,10,5,15,100,75,10,5,5,5,5,5
Maize Silk,5,5,5,10,100,10,5,5,80,5,10,5
Antique Brass,5,5,5,10,100,10,5,5,5,50,20,70
Lemon Quartz,15,15,5,10,95,5,5,5,75,5,5,5
Desert Dune,5,5,5,10,100,10,5,5,5,5,10,70
Sunstone Glow,10,10,5,15,100,75,5,5,10,5,5,5
Amber Flame,5,5,5,60,75,100,5,5,10,5,5,5
Persimmon,5,5,5,75,10,100,5,5,5,5,5,5
Burnt Saffron,5,10,5,75,10,100,5,5,15,5,5,45
Mandarin Zest,5,10,5,15,75,100,10,5,10,5,5,5
Copper Glow,5,5,5,10,10,100,5,5,5,5,15,70
Terracotta,5,5,5,10,10,100,5,5,5,5,10,80
Paprika,5,10,5,75,10,100,5,5,15,5,5,5
Apricot Silk,5,5,5,10,10,100,5,70,60,5,10,5
